1,9,風景畫募資,2500,250,2016-12-1,2017-1-1,2017-5-1,2017-3-1,請由九張風景內擇一，2017/1/1開始會針對人氣最高的繪畫開始募資，預計完成後會有掛軸與裱框成品可供選擇。,#繪畫#風景
2,1,狗肖像畫,1000,200,2017-2-1,2017-3-1,2017-5-11,2017-2-1,畫作完成後會以平面印刷方式寄送、可選擇裱框。,#動物#狗#肖像畫
3,5,劫諾希斯(Xenosis),300000,18650,2017-4-15,2017-5-16,2017-5-19,2017-4-20,故事背景：你是一個太空拾荒者，發現了在50年前於任務中消失，一艘名為「企業號」的星艦；你知道從殘骸完整度可以猜到裡面應該還留有不少珍貴的科技設備，你毫不遲疑地登艦，滿懷希望地能撈夠老本一輩子不愁吃穿。只要50年前讓它消失的原因不會再度發生的話……- 使用Unreal引擎建模，一場太空中的生存懸疑遊戲等待著您的投資！ - 聰明地運用遊戲中所獲得的資源來製作物品克服遊戲難題。 - 隨時注意環境與生存必需品。 - 盡可能潛行來避免戰鬥的發生。 - 同時支援鍵盤滑鼠以及手把。 遊戲進度：已經完成40%，遊戲機制、戰鬥跟製作都已經完成。劇情跟人物骨幹完成，剩下一些背景知識相關物件需要寫作，已經和微軟、Sony以及任天堂接洽，屆時已確定會同時在XBox One與PS4上推出。目前為止總共花了六個月，如果募款成功應該再七個月能夠完成。 資金用途：1.多語系翻譯 2.ESRB評等：如果要在主機上推出需要對每個語系及每個地區的ESRB評等付錢才能發售。3.聘請其他自由畫家：來完成剩餘美術的部分。 4.軟體授權：在遊戲上架以前，我需要付清遊戲引擎的授權費用。 如果最後募集的資金超過預期目標，那我會將額外資金拿來改善或者增加遊戲的內容。,#太空科幻#生存#懸疑#拾荒#Unreal#探索#潛行
4,4,機器人崛起,1250,2000,2017-1-15,2017-2-16,2017-4-30,2017-4-1,我是一位數位畫家以及漫畫家。「機器人崛起」這個專案主題是在於繪出一連串和機器人相關聯的主題。目前已有四張圖片任君挑選，只要你有投資200元，就可以任選一幅並且免運費送到家，200元以上則可任選尺寸以及視情況多選幾幅。,#機器人崛起#機器人#繪畫
5,9,6個誓約_Six of Pledge,5000,250,2017-2-15,2017-3-16,2017-5-16,2017-3-11,Demo帶：https://www.youtube.com/watch?v=Wg5J6DN4dQQ 主唱團體：HOYOU 大家好!最近因為投入遊戲製作反而認識了一些日本的音樂人朋友，因為他們對同人音樂這個領域很有興趣，所以組成了一個延伸的音樂團體【HUYOU】。本影片是將專輯全曲的集合版DEMO，為了讓大家更容易了解歌曲的意思，附上了中日字幕希望大家會喜歡這次的作品。,#東方#東方PROJECT#音樂#HOYOU
6,3,時尚界的小動物,3000,420,2017-1-3,2017-5-7,2017-5-8,2017-5-9,打領帶的貓、穿毛衣的小熊、戴衣領的小鳥，如果有一天動物們都穿上華麗的衣裳，那會是什麼景象？,#動物#貓#插畫
7,7,兔兒與櫻共舞 / 鑰匙圈,400,100,2016-12-3,2017-3-15,2016-12-5,2017-2-6,故事:賞櫻花的兔兒情不自禁的跳起了舞。,#動物#兔子#木製
8,2,草木染橘綠雙色喬其紗圍巾,500,150,2016-9-17,2017-4-16,2016-10-17,2017-3-5,草綠色是構樹染的，橘色是茜草根染的，用兩種染液變化出雙色又色彩飽滿的絲巾，搭配性強，隨便穿件米色襯衫或針織衣，圍上這一條就很出色，草綠色和橘色也對比得很和諧,# 絲巾#絹
9,7,美麗細緻的色鉛筆畫作,20000,1200,2016-6-18,2017-5-17,2016-7-18,2016-12-24,以色鉛筆創作，他將身邊所見的人事物當做繪畫的靈感，配合畫家的心境以卡通、童話、陰暗等不同手法賦予每一幅作品自己的故事與生命。,#繪畫#人事物
10,6,迷你手繪,500,100,2016-10-19,2017-3-18,2016-11-19,2017-7-22,龍貓彷彿穿上大自然的迷彩衣，而肚子上大大的留白起了微妙的膨脹效果，在視覺上有種圓滾滾的感覺。,#葉片花草#拼貼
